id,area,titulo,autores,status_fonte,competencia,uso_no_clinicnow
SA001,vendas,SPIN Selling,Neil Rackham,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA002,vendas,The Challenger Sale,Matthew Dixon and Brent Adamson,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA003,vendas,The Challenger Customer,Brent Adamson and Matthew Dixon and Pat Spenner and Nick Toman,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA004,vendas,Gap Selling,Keenan,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA005,vendas,Fanatical Prospecting,Jeb Blount,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA006,vendas,New Sales Simplified,Mike Weinberg,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA007,vendas,Predictable Revenue,Aaron Ross and Marylou Tyler,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA008,vendas,From Impossible to Inevitable,Aaron Ross and Jason Lemkin,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA009,vendas,The Sales Acceleration Formula,Mark Roberge,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA010,vendas,MEDDICC,Andy Whyte,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA011,vendas,Mastering the Complex Sale,Jeff Thull,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA012,vendas,Strategic Selling,Robert Miller and Stephen Heiman,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA013,vendas,Conceptual Selling,Robert Miller and Stephen Heiman,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA014,vendas,Major Account Sales Strategy,Neil Rackham,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA015,vendas,Let's Get Real or Let's Not Play,Mahan Khalsa and Randy Illig,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA016,vendas,Never Split the Difference,Chris Voss and Tahl Raz,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA017,vendas,Getting to Yes,Roger Fisher and William Ury and Bruce Patton,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA018,vendas,Influence,Robert Cialdini,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA019,vendas,Pre-Suasion,Robert Cialdini,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA020,vendas,To Sell Is Human,Daniel Pink,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA021,vendas,Sell with a Story,Paul Smith,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA022,vendas,Exactly What to Say,Phil M. Jones,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
SA023,vendas,The Little Red Book of Selling,Jeffrey Gitomer,catalogado,venda_consultiva,referencia_em_curadoria_nao_equivale_a_dominio
